amfi_code,scheme_name,Tracking_Error_NIFTY50,Tracking_Error_NIFTY100
148567,Mirae Asset Large Cap Fund - Regular - Growth,0.19186766489266005,0.18797377271500346
120505,ICICI Pru Midcap Fund - Regular - Growth,0.22844691726310182,0.23266121743560642
120843,Kotak Flexicap Fund - Regular - Growth,0.20506699571897424,0.20653967537989154
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.2282217849822835,0.2249762864379556
120504,ICICI Pru Bluechip Fund - Direct - Growth,0.18821141286440057,0.18729903509098153
